Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_199337.3 219 210 0.574 0.648 0.539 0.534 0.525 0.662 0.279 0.320 0.224 0.233 0.320 0.384 0.187 0.155 0.114 0.301 0.205 0.279
NM_016078.6 205 193 0.429 0.425 0.431 0.434 0.395 0.459 0.254 0.346 0.307 0.141 0.180 0.195 0.312 0.259 0.234 0.293 0.215 0.263
NM_006136.3 286 278 0.395 0.331 0.426 0.503 0.332 0.350 0.175 0.262 0.336 0.171 0.196 0.143 0.322 0.406 0.315 0.332 0.136 0.206
NM_016495.6 293 279 0.457 0.470 0.452 0.526 0.352 0.495 0.218 0.321 0.294 0.229 0.191 0.212 0.256 0.328 0.212 0.297 0.160 0.283
NM_020230.7 473 458 0.629 0.810 0.543 0.651 0.421 0.816 0.095 0.245 0.112 0.317 0.190 0.372 0.254 0.334 0.072 0.334 0.230 0.444
NM_005729.4 207 201 0.604 0.791 0.514 0.536 0.478 0.797 0.203 0.271 0.121 0.198 0.246 0.493 0.261 0.251 0.082 0.338 0.232 0.304
NM_014494.4 1962 1858 0.484 0.397 0.524 0.508 0.515 0.429 0.169 0.162 0.315 0.229 0.279 0.205 0.323 0.323 0.256 0.279 0.236 0.223
NM_017747.3 2542 2483 0.462 0.333 0.524 0.571 0.465 0.348 0.155 0.235 0.345 0.222 0.305 0.158 0.273 0.300 0.307 0.349 0.160 0.190
NM_030821.5 189 186 0.511 0.543 0.496 0.556 0.429 0.550 0.196 0.238 0.259 0.275 0.206 0.339 0.249 0.333 0.190 0.280 0.222 0.212
NM_020244.3 406 383 0.460 0.436 0.471 0.515 0.397 0.468 0.246 0.374 0.303 0.219 0.232 0.219 0.239 0.229 0.229 0.296 0.165 0.249
NM_005147.6 480 467 0.562 0.666 0.512 0.533 0.477 0.675 0.167 0.235 0.188 0.198 0.242 0.346 0.300 0.287 0.138 0.335 0.235 0.329
NM_004309.6 204 197 0.605 0.863 0.482 0.593 0.353 0.868 0.127 0.245 0.074 0.221 0.201 0.422 0.279 0.402 0.059 0.373 0.152 0.446
NM_001272051.2 132 123 0.644 0.715 0.612 0.644 0.553 0.735 0.174 0.197 0.174 0.288 0.280 0.341 0.182 0.250 0.091 0.356 0.273 0.394
NM_015342.4 646 617 0.412 0.327 0.451 0.503 0.375 0.358 0.163 0.285 0.342 0.167 0.198 0.161 0.334 0.341 0.300 0.336 0.176 0.197
NM_015355.4 739 714 0.425 0.349 0.461 0.502 0.402 0.371 0.164 0.234 0.321 0.207 0.219 0.166 0.334 0.364 0.309 0.295 0.183 0.204
NM_005973.5 491 482 0.582 0.600 0.573 0.635 0.503 0.607 0.138 0.183 0.236 0.289 0.354 0.287 0.226 0.314 0.157 0.346 0.149 0.320
NM_021933.4 388 378 0.645 0.749 0.595 0.621 0.559 0.755 0.180 0.196 0.124 0.351 0.325 0.369 0.198 0.245 0.121 0.271 0.235 0.387
NM_198507.3 190 185 0.616 0.649 0.600 0.674 0.516 0.658 0.105 0.253 0.195 0.284 0.274 0.295 0.221 0.232 0.147 0.389 0.242 0.363
NM_173542.4 589 555 0.627 0.838 0.531 0.594 0.440 0.847 0.178 0.287 0.097 0.277 0.229 0.450 0.228 0.273 0.056 0.317 0.211 0.397
NM_002868.4 215 208 0.515 0.562 0.492 0.549 0.419 0.577 0.149 0.242 0.205 0.209 0.228 0.284 0.302 0.340 0.219 0.340 0.191 0.293
NM_003587.5 1041 1010 0.570 0.646 0.533 0.645 0.408 0.656 0.134 0.255 0.193 0.281 0.221 0.281 0.221 0.337 0.151 0.363 0.187 0.375
NM_001003681.3 601 590 0.471 0.469 0.472 0.521 0.413 0.479 0.185 0.198 0.243 0.206 0.268 0.210 0.295 0.389 0.278 0.314 0.145 0.270
NM_017846.5 287 271 0.516 0.594 0.480 0.547 0.383 0.617 0.192 0.244 0.216 0.206 0.209 0.303 0.261 0.373 0.167 0.341 0.174 0.314
NM_017664.4 420 411 0.550 0.601 0.525 0.571 0.469 0.610 0.167 0.231 0.224 0.224 0.243 0.324 0.262 0.300 0.167 0.348 0.226 0.286
NM_002439.5 1137 1110 0.423 0.379 0.445 0.505 0.371 0.394 0.179 0.284 0.296 0.193 0.230 0.183 0.317 0.345 0.310 0.311 0.141 0.211
NM_198467.3 846 822 0.450 0.411 0.469 0.528 0.395 0.428 0.169 0.235 0.303 0.214 0.246 0.186 0.303 0.370 0.270 0.314 0.149 0.242
NM_145043.4 332 321 0.567 0.632 0.536 0.611 0.446 0.645 0.199 0.238 0.190 0.274 0.220 0.286 0.190 0.316 0.166 0.337 0.226 0.358
NM_013399.3 208 199 0.625 0.678 0.600 0.611 0.572 0.692 0.178 0.221 0.173 0.341 0.375 0.428 0.212 0.207 0.135 0.269 0.197 0.264
NM_001494.4 445 432 0.419 0.412 0.423 0.485 0.344 0.429 0.173 0.297 0.297 0.169 0.178 0.229 0.342 0.360 0.274 0.317 0.166 0.200
NM_006246.5 467 451 0.401 0.379 0.412 0.482 0.321 0.400 0.216 0.332 0.283 0.221 0.184 0.178 0.302 0.347 0.317 0.261 0.137 0.223
NM_005004.4 186 167 0.572 0.653 0.537 0.597 0.430 0.688 0.194 0.237 0.177 0.269 0.226 0.317 0.210 0.333 0.134 0.328 0.204 0.371
NM_017832.4 181 177 0.429 0.384 0.451 0.492 0.398 0.398 0.188 0.265 0.287 0.204 0.227 0.199 0.320 0.337 0.315 0.287 0.171 0.199
NM_024881.5 410 393 0.629 0.860 0.521 0.571 0.451 0.866 0.173 0.339 0.078 0.288 0.256 0.520 0.256 0.210 0.056 0.283 0.195 0.346
NM_004060.4 295 286 0.400 0.374 0.412 0.458 0.349 0.393 0.227 0.329 0.292 0.214 0.197 0.139 0.315 0.322 0.315 0.244 0.153 0.254
NM_017906.3 392 377 0.425 0.395 0.439 0.487 0.370 0.418 0.163 0.273 0.283 0.166 0.207 0.194 0.349 0.357 0.298 0.321 0.163 0.224
NM_012162.4 539 519 0.670 0.794 0.612 0.673 0.536 0.801 0.154 0.262 0.113 0.373 0.280 0.403 0.173 0.202 0.085 0.301 0.256 0.399
NM_021942.6 1133 1094 0.427 0.388 0.446 0.514 0.359 0.409 0.195 0.305 0.335 0.217 0.218 0.185 0.291 0.335 0.256 0.297 0.141 0.223
NM_013236.4 475 464 0.463 0.496 0.447 0.539 0.343 0.507 0.164 0.333 0.288 0.234 0.208 0.227 0.297 0.324 0.204 0.305 0.135 0.280
NM_024069.4 176 169 0.602 0.811 0.504 0.557 0.432 0.818 0.114 0.261 0.074 0.267 0.256 0.506 0.330 0.307 0.108 0.290 0.176 0.312
NM_032177.4 394 381 0.432 0.365 0.464 0.548 0.363 0.386 0.129 0.223 0.305 0.185 0.190 0.157 0.322 0.414 0.310 0.363 0.173 0.228
NM_002951.5 631 619 0.513 0.578 0.481 0.563 0.390 0.586 0.166 0.319 0.263 0.228 0.282 0.328 0.271 0.292 0.151 0.334 0.108 0.258
NM_017443.5 147 143 0.528 0.671 0.460 0.578 0.327 0.680 0.095 0.197 0.102 0.150 0.204 0.327 0.327 0.476 0.218 0.429 0.122 0.354
NM_004712.5 777 746 0.633 0.814 0.548 0.637 0.441 0.821 0.134 0.207 0.098 0.326 0.291 0.384 0.229 0.351 0.081 0.311 0.151 0.438
NM_012143.4 837 786 0.542 0.690 0.475 0.569 0.350 0.708 0.158 0.266 0.166 0.245 0.178 0.348 0.274 0.384 0.125 0.324 0.172 0.361
NM_000293.3 1093 1061 0.438 0.402 0.455 0.542 0.352 0.419 0.171 0.304 0.318 0.250 0.177 0.205 0.287 0.344 0.263 0.292 0.176 0.214
NM_002503.5 356 348 0.660 0.727 0.628 0.744 0.503 0.733 0.101 0.213 0.157 0.309 0.284 0.433 0.154 0.284 0.110 0.435 0.219 0.301
NM_017426.4 507 496 0.428 0.327 0.477 0.533 0.410 0.341 0.150 0.264 0.355 0.223 0.239 0.142 0.318 0.325 0.304 0.310 0.172 0.199
NM_002586.5 430 413 0.595 0.678 0.555 0.602 0.491 0.691 0.137 0.212 0.170 0.247 0.244 0.363 0.260 0.298 0.140 0.356 0.247 0.328
NM_002816.5 456 433 0.406 0.395 0.411 0.485 0.307 0.425 0.175 0.311 0.289 0.182 0.178 0.169 0.340 0.382 0.285 0.303 0.129 0.257
NM_004035.7 660 632 0.495 0.536 0.476 0.552 0.379 0.556 0.158 0.292 0.273 0.247 0.209 0.280 0.291 0.329 0.171 0.305 0.170 0.276
NM_003675.4 342 333 0.422 0.426 0.420 0.515 0.310 0.442 0.146 0.275 0.269 0.196 0.164 0.170 0.339 0.415 0.289 0.319 0.146 0.272
NM_018362.4 197 193 0.447 0.301 0.518 0.624 0.401 0.315 0.107 0.269 0.284 0.223 0.198 0.137 0.269 0.330 0.401 0.401 0.203 0.178
NM_152551.4 339 331 0.430 0.396 0.446 0.519 0.360 0.410 0.165 0.195 0.307 0.186 0.171 0.147 0.316 0.445 0.283 0.333 0.189 0.263
NM_024731.4 616 593 0.632 0.880 0.515 0.607 0.404 0.885 0.172 0.266 0.068 0.263 0.182 0.487 0.221 0.330 0.047 0.344 0.222 0.398
NM_024805.3 343 330 0.564 0.639 0.528 0.583 0.455 0.653 0.160 0.216 0.178 0.239 0.239 0.294 0.257 0.329 0.169 0.344 0.216 0.359
NM_005600.3 327 317 0.561 0.546 0.568 0.633 0.489 0.560 0.180 0.269 0.232 0.315 0.266 0.281 0.187 0.242 0.208 0.318 0.223 0.278
NM_003676.4 323 301 0.427 0.442 0.421 0.467 0.334 0.480 0.248 0.347 0.334 0.201 0.186 0.245 0.285 0.319 0.186 0.266 0.149 0.235
NM_018471.3 426 418 0.399 0.323 0.436 0.549 0.312 0.336 0.124 0.216 0.324 0.146 0.153 0.124 0.326 0.472 0.340 0.404 0.160 0.211
NM_015143.3 386 371 0.457 0.364 0.501 0.547 0.435 0.389 0.184 0.241 0.347 0.212 0.228 0.176 0.269 0.324 0.264 0.334 0.207 0.212
NM_016142.3 312 298 0.460 0.500 0.442 0.481 0.378 0.522 0.192 0.333 0.266 0.157 0.228 0.256 0.327 0.288 0.212 0.324 0.151 0.266
NM_002435.3 423 408 0.556 0.684 0.496 0.584 0.390 0.695 0.156 0.307 0.170 0.284 0.248 0.352 0.260 0.303 0.135 0.300 0.142 0.343
NM_007104.5 217 210 0.516 0.719 0.420 0.521 0.300 0.728 0.157 0.313 0.157 0.235 0.175 0.341 0.323 0.387 0.115 0.286 0.124 0.387
NM_012228.4 182 177 0.573 0.582 0.569 0.582 0.544 0.593 0.187 0.203 0.236 0.253 0.253 0.258 0.231 0.253 0.170 0.330 0.291 0.335
NM_014665.4 493 479 0.637 0.766 0.575 0.694 0.444 0.773 0.144 0.320 0.142 0.385 0.237 0.377 0.162 0.235 0.085 0.308 0.207 0.396
NM_003142.5 408 397 0.368 0.280 0.410 0.507 0.297 0.299 0.142 0.235 0.275 0.140 0.157 0.125 0.350 0.468 0.426 0.368 0.140 0.174
NM_013366.4 822 789 0.629 0.829 0.535 0.648 0.404 0.836 0.144 0.296 0.103 0.304 0.193 0.389 0.208 0.300 0.061 0.344 0.210 0.446
NM_018989.2 1060 1032 0.454 0.355 0.501 0.558 0.432 0.372 0.157 0.215 0.293 0.271 0.249 0.165 0.286 0.353 0.335 0.287 0.183 0.207
NM_002788.4 255 244 0.404 0.287 0.459 0.522 0.373 0.318 0.188 0.278 0.353 0.114 0.196 0.180 0.290 0.349 0.329 0.408 0.176 0.137
NM_013260.8 308 300 0.510 0.567 0.482 0.529 0.422 0.578 0.133 0.185 0.227 0.136 0.292 0.292 0.338 0.393 0.195 0.393 0.130 0.286
NM_020132.5 376 357 0.574 0.776 0.481 0.561 0.375 0.787 0.199 0.354 0.114 0.261 0.173 0.386 0.239 0.271 0.098 0.301 0.202 0.402
NM_023933.3 235 228 0.715 0.838 0.656 0.762 0.540 0.843 0.123 0.272 0.111 0.345 0.272 0.362 0.115 0.187 0.047 0.417 0.268 0.481
NM_152699.5 755 728 0.436 0.441 0.434 0.472 0.376 0.461 0.201 0.256 0.303 0.217 0.180 0.212 0.327 0.368 0.236 0.254 0.196 0.249
NM_004879.5 340 325 0.470 0.502 0.455 0.488 0.397 0.524 0.244 0.374 0.294 0.253 0.200 0.274 0.268 0.229 0.182 0.235 0.197 0.250
NM_017970.4 1164 1117 0.502 0.559 0.476 0.527 0.404 0.576 0.186 0.249 0.243 0.227 0.210 0.249 0.287 0.347 0.180 0.300 0.193 0.327
NM_024086.4 562 543 0.475 0.468 0.479 0.541 0.399 0.486 0.158 0.269 0.240 0.215 0.205 0.219 0.301 0.333 0.274 0.326 0.194 0.267
NM_052876.4 527 506 0.648 0.852 0.553 0.624 0.463 0.858 0.129 0.230 0.087 0.266 0.256 0.454 0.247 0.307 0.055 0.359 0.207 0.404
NM_004708.4 125 121 0.448 0.405 0.469 0.584 0.336 0.424 0.088 0.232 0.184 0.200 0.192 0.152 0.328 0.432 0.392 0.384 0.144 0.272
NM_000512.5 522 496 0.610 0.768 0.536 0.598 0.452 0.780 0.161 0.264 0.126 0.284 0.249 0.435 0.241 0.284 0.094 0.314 0.203 0.345
NM_001001410.3 312 305 0.682 0.816 0.616 0.689 0.535 0.821 0.144 0.212 0.099 0.266 0.253 0.401 0.167 0.253 0.080 0.423 0.282 0.420
NM_001012759.3 515 497 0.641 0.775 0.578 0.649 0.493 0.783 0.159 0.250 0.132 0.291 0.276 0.383 0.192 0.256 0.085 0.357 0.217 0.400
NM_014868.5 811 792 0.520 0.552 0.504 0.554 0.443 0.562 0.186 0.222 0.260 0.242 0.254 0.287 0.260 0.335 0.178 0.312 0.189 0.275
NM_138408.4 213 204 0.423 0.382 0.441 0.554 0.305 0.408 0.155 0.268 0.286 0.155 0.174 0.150 0.291 0.427 0.305 0.399 0.131 0.258
NM_030937.6 520 511 0.582 0.673 0.538 0.577 0.490 0.679 0.167 0.210 0.177 0.275 0.250 0.319 0.256 0.300 0.144 0.302 0.240 0.360
NM_012469.4 941 895 0.570 0.674 0.522 0.603 0.419 0.690 0.117 0.235 0.175 0.243 0.225 0.295 0.281 0.346 0.135 0.359 0.193 0.394
NM_001746.4 592 564 0.448 0.369 0.484 0.586 0.358 0.399 0.142 0.223 0.346 0.188 0.215 0.162 0.272 0.419 0.255 0.399 0.144 0.236
NM_016067.4 142 137 0.427 0.372 0.453 0.479 0.408 0.394 0.183 0.275 0.352 0.197 0.211 0.148 0.338 0.317 0.254 0.282 0.197 0.246
NM_001080432.3 505 481 0.485 0.474 0.490 0.578 0.378 0.499 0.178 0.255 0.277 0.246 0.208 0.230 0.244 0.366 0.224 0.333 0.170 0.269
NM_000447.3 448 422 0.580 0.780 0.488 0.565 0.382 0.792 0.190 0.359 0.127 0.234 0.228 0.413 0.246 0.259 0.080 0.330 0.154 0.379
NM_007269.4 592 570 0.382 0.309 0.416 0.481 0.329 0.334 0.176 0.282 0.353 0.182 0.198 0.142 0.343 0.389 0.312 0.299 0.132 0.193
NM_015571.4 1112 1091 0.373 0.280 0.418 0.463 0.362 0.294 0.181 0.248 0.348 0.176 0.190 0.148 0.356 0.389 0.358 0.287 0.173 0.146
NM_138381.5 312 303 0.454 0.429 0.466 0.506 0.410 0.446 0.183 0.311 0.285 0.199 0.231 0.212 0.311 0.279 0.269 0.308 0.179 0.234
NM_001909.5 412 398 0.623 0.862 0.510 0.575 0.427 0.867 0.180 0.296 0.085 0.238 0.250 0.493 0.245 0.277 0.049 0.337 0.177 0.374
NM_012336.4 456 446 0.531 0.601 0.498 0.592 0.393 0.610 0.164 0.254 0.226 0.241 0.208 0.309 0.243 0.353 0.164 0.351 0.184 0.300
NM_004642.4 115 111 0.606 0.730 0.547 0.557 0.522 0.739 0.139 0.200 0.113 0.243 0.304 0.383 0.304 0.278 0.148 0.313 0.217 0.357
NM_004475.3 428 415 0.579 0.718 0.513 0.647 0.364 0.727 0.098 0.287 0.164 0.208 0.222 0.301 0.255 0.348 0.110 0.439 0.143 0.425
NM_000144.5 210 203 0.549 0.591 0.529 0.562 0.481 0.605 0.200 0.229 0.200 0.243 0.281 0.343 0.238 0.290 0.195 0.319 0.200 0.262
NM_004461.3 508 485 0.619 0.802 0.533 0.638 0.407 0.811 0.128 0.280 0.120 0.299 0.203 0.390 0.234 0.313 0.069 0.339 0.205 0.421
NM_024578.3 264 259 0.646 0.745 0.598 0.682 0.508 0.750 0.110 0.182 0.121 0.394 0.288 0.360 0.208 0.311 0.129 0.288 0.220 0.390
NM_012138.4 560 545 0.502 0.508 0.500 0.604 0.382 0.521 0.129 0.225 0.245 0.218 0.191 0.227 0.268 0.393 0.234 0.386 0.191 0.295
NM_003849.4 346 339 0.487 0.428 0.515 0.558 0.462 0.439 0.136 0.272 0.332 0.197 0.263 0.240 0.306 0.266 0.228 0.361 0.199 0.199
NM_001177.6 181 170 0.409 0.359 0.432 0.431 0.398 0.398 0.232 0.320 0.232 0.105 0.204 0.182 0.337 0.282 0.370 0.326 0.193 0.215
NM_017916.3 290 277 0.591 0.729 0.526 0.638 0.393 0.741 0.128 0.276 0.134 0.324 0.238 0.324 0.234 0.331 0.124 0.314 0.155 0.417
NM_015694.3 831 810 0.617 0.779 0.539 0.627 0.439 0.785 0.144 0.203 0.106 0.338 0.243 0.403 0.229 0.357 0.110 0.289 0.196 0.381
NM_001569.4 712 690 0.652 0.761 0.600 0.649 0.538 0.768 0.154 0.226 0.125 0.315 0.309 0.396 0.197 0.236 0.107 0.334 0.229 0.372
NM_024516.4 254 248 0.654 0.722 0.621 0.728 0.504 0.728 0.098 0.154 0.130 0.287 0.287 0.331 0.173 0.343 0.142 0.441 0.217 0.398
NM_003365.3 480 464 0.583 0.651 0.550 0.629 0.456 0.662 0.144 0.265 0.219 0.258 0.242 0.331 0.227 0.279 0.119 0.371 0.215 0.331
NM_016129.3 406 392 0.423 0.367 0.449 0.539 0.340 0.389 0.175 0.283 0.300 0.219 0.219 0.153 0.286 0.377 0.310 0.320 0.121 0.236
NM_032164.4 561 549 0.532 0.579 0.510 0.574 0.435 0.588 0.162 0.193 0.207 0.285 0.191 0.271 0.264 0.373 0.205 0.289 0.244 0.317
NM_032476.4 125 121 0.488 0.504 0.480 0.560 0.384 0.520 0.136 0.288 0.224 0.224 0.224 0.216 0.304 0.328 0.256 0.336 0.160 0.304
NM_002567.4 187 180 0.588 0.739 0.517 0.599 0.417 0.749 0.160 0.230 0.160 0.262 0.214 0.369 0.241 0.353 0.091 0.337 0.203 0.380
NM_018464.5 108 103 0.423 0.369 0.448 0.481 0.389 0.398 0.157 0.250 0.343 0.148 0.213 0.222 0.361 0.361 0.259 0.333 0.176 0.176
NM_001833.4 218 210 0.578 0.586 0.574 0.683 0.450 0.601 0.119 0.179 0.174 0.225 0.266 0.298 0.197 0.372 0.225 0.459 0.183 0.303
NM_000386.4 455 428 0.467 0.530 0.439 0.510 0.334 0.558 0.189 0.301 0.253 0.191 0.171 0.251 0.301 0.365 0.189 0.319 0.163 0.308
NM_015330.5 1117 1081 0.469 0.438 0.483 0.537 0.413 0.457 0.143 0.218 0.253 0.214 0.251 0.206 0.320 0.370 0.290 0.323 0.162 0.251
NM_144653.5 587 571 0.684 0.907 0.576 0.651 0.491 0.910 0.126 0.250 0.051 0.281 0.290 0.525 0.223 0.259 0.039 0.370 0.201 0.385
NM_006858.4 227 217 0.621 0.816 0.530 0.656 0.383 0.824 0.141 0.330 0.079 0.251 0.220 0.352 0.203 0.286 0.097 0.405 0.163 0.471
NM_001144989.2 855 845 0.435 0.374 0.466 0.489 0.436 0.381 0.214 0.170 0.360 0.219 0.150 0.181 0.297 0.394 0.258 0.270 0.287 0.200
NM_016145.4 106 92 0.563 0.793 0.469 0.415 0.453 0.821 0.226 0.302 0.132 0.236 0.274 0.387 0.358 0.245 0.047 0.179 0.179 0.434
NM_025128.5 551 540 0.629 0.717 0.587 0.673 0.492 0.722 0.127 0.245 0.138 0.352 0.247 0.347 0.200 0.263 0.140 0.321 0.245 0.376
NM_001040431.3 106 103 0.613 0.641 0.600 0.679 0.509 0.651 0.151 0.226 0.198 0.311 0.311 0.264 0.170 0.264 0.151 0.368 0.198 0.387
NM_005746.3 491 481 0.395 0.347 0.418 0.485 0.340 0.360 0.200 0.271 0.330 0.155 0.198 0.177 0.316 0.389 0.310 0.330 0.143 0.183
NM_006837.3 334 315 0.444 0.438 0.447 0.494 0.368 0.470 0.201 0.263 0.287 0.177 0.216 0.207 0.305 0.368 0.243 0.317 0.153 0.263
NM_006122.4 1150 1113 0.592 0.741 0.520 0.627 0.398 0.750 0.170 0.298 0.157 0.317 0.218 0.414 0.203 0.303 0.094 0.310 0.180 0.336
NM_014425.5 1065 1036 0.490 0.446 0.510 0.567 0.440 0.461 0.146 0.217 0.276 0.246 0.247 0.230 0.286 0.343 0.263 0.321 0.193 0.231
NM_001013703.4 1649 1611 0.477 0.502 0.465 0.556 0.362 0.514 0.169 0.280 0.255 0.238 0.195 0.252 0.275 0.358 0.231 0.318 0.167 0.262
NM_002806.5 389 377 0.410 0.324 0.452 0.537 0.350 0.344 0.154 0.301 0.347 0.198 0.183 0.113 0.308 0.350 0.308 0.339 0.167 0.231
NM_014497.5 1978 1929 0.395 0.275 0.453 0.497 0.395 0.293 0.166 0.229 0.345 0.176 0.249 0.115 0.336 0.376 0.361 0.322 0.147 0.178
NM_016475.5 311 297 0.409 0.343 0.440 0.473 0.383 0.373 0.283 0.373 0.344 0.209 0.219 0.206 0.244 0.244 0.283 0.264 0.164 0.167
NM_018438.6 293 276 0.587 0.754 0.511 0.584 0.410 0.768 0.195 0.270 0.126 0.270 0.215 0.454 0.222 0.321 0.106 0.314 0.195 0.314
NM_014473.4 313 306 0.444 0.422 0.455 0.527 0.371 0.435 0.153 0.339 0.275 0.240 0.195 0.208 0.319 0.291 0.291 0.288 0.176 0.227
NM_015388.4 350 330 0.574 0.673 0.529 0.617 0.414 0.691 0.146 0.346 0.174 0.260 0.240 0.383 0.237 0.240 0.134 0.357 0.174 0.309
NM_020150.5 198 189 0.444 0.429 0.452 0.525 0.354 0.455 0.172 0.338 0.303 0.217 0.172 0.237 0.303 0.308 0.242 0.308 0.182 0.217
NM_001919.4 302 291 0.657 0.849 0.566 0.666 0.450 0.854 0.119 0.301 0.073 0.285 0.238 0.397 0.215 0.248 0.073 0.381 0.212 0.457
NM_006349.3 154 152 0.608 0.717 0.555 0.630 0.474 0.721 0.162 0.195 0.195 0.331 0.227 0.351 0.208 0.331 0.084 0.299 0.247 0.370
NM_022338.4 449 428 0.572 0.572 0.571 0.514 0.608 0.592 0.129 0.205 0.198 0.203 0.481 0.330 0.356 0.187 0.209 0.312 0.127 0.263
NM_138572.3 310 302 0.558 0.636 0.521 0.565 0.465 0.645 0.132 0.223 0.219 0.255 0.323 0.303 0.303 0.313 0.135 0.310 0.142 0.342
NM_002793.4 241 232 0.477 0.478 0.477 0.502 0.432 0.498 0.199 0.290 0.286 0.162 0.245 0.232 0.299 0.278 0.216 0.340 0.187 0.266
NM_003904.5 459 444 0.534 0.597 0.505 0.590 0.403 0.610 0.115 0.253 0.198 0.237 0.248 0.303 0.294 0.344 0.192 0.353 0.155 0.307
NM_006351.4 452 434 0.573 0.753 0.488 0.582 0.374 0.763 0.142 0.272 0.095 0.232 0.186 0.354 0.277 0.354 0.142 0.350 0.188 0.409
NM_016467.5 153 145 0.407 0.338 0.439 0.484 0.366 0.373 0.196 0.386 0.366 0.248 0.209 0.183 0.320 0.248 0.261 0.235 0.157 0.190
NM_005981.5 210 200 0.483 0.535 0.458 0.510 0.381 0.557 0.214 0.400 0.281 0.200 0.152 0.338 0.276 0.219 0.162 0.310 0.229 0.219
NM_015705.6 749 717 0.618 0.821 0.523 0.636 0.390 0.829 0.156 0.304 0.103 0.307 0.203 0.425 0.208 0.306 0.068 0.328 0.187 0.405
NM_003143.3 148 143 0.419 0.343 0.455 0.527 0.365 0.365 0.162 0.297 0.284 0.216 0.162 0.122 0.311 0.338 0.351 0.311 0.203 0.243
NM_003187.5 264 253 0.420 0.304 0.475 0.462 0.466 0.333 0.186 0.239 0.356 0.193 0.345 0.133 0.352 0.295 0.311 0.269 0.121 0.201
NM_000159.4 438 418 0.611 0.778 0.533 0.596 0.450 0.788 0.144 0.279 0.137 0.260 0.219 0.390 0.260 0.272 0.075 0.336 0.231 0.397
NM_007033.5 196 183 0.497 0.612 0.444 0.474 0.378 0.638 0.240 0.357 0.214 0.204 0.204 0.332 0.286 0.265 0.148 0.270 0.173 0.306
NM_002748.4 721 696 0.405 0.343 0.435 0.527 0.323 0.366 0.190 0.277 0.373 0.218 0.176 0.157 0.283 0.399 0.261 0.309 0.147 0.209
NM_017813.5 359 344 0.532 0.552 0.523 0.604 0.421 0.571 0.128 0.290 0.248 0.201 0.228 0.306 0.267 0.290 0.181 0.404 0.192 0.265
NM_147156.4 413 379 0.484 0.554 0.453 0.499 0.363 0.591 0.220 0.337 0.225 0.254 0.182 0.308 0.281 0.300 0.184 0.245 0.182 0.283
NM_033112.4 259 254 0.537 0.579 0.516 0.641 0.382 0.587 0.124 0.212 0.174 0.317 0.185 0.212 0.236 0.405 0.239 0.324 0.197 0.375
NM_003905.4 534 520 0.390 0.294 0.435 0.507 0.348 0.313 0.189 0.288 0.356 0.182 0.193 0.148 0.303 0.363 0.331 0.326 0.155 0.165
NM_001514.6 316 305 0.438 0.331 0.488 0.509 0.449 0.354 0.168 0.269 0.358 0.177 0.259 0.171 0.323 0.282 0.288 0.332 0.190 0.184
NM_001664.4 193 185 0.494 0.535 0.475 0.554 0.373 0.554 0.150 0.285 0.249 0.171 0.192 0.223 0.295 0.342 0.197 0.383 0.181 0.332
NM_006559.3 443 429 0.570 0.536 0.587 0.650 0.510 0.551 0.142 0.187 0.223 0.287 0.307 0.235 0.208 0.302 0.226 0.363 0.203 0.316
NM_016322.4 215 209 0.428 0.344 0.468 0.507 0.414 0.363 0.163 0.242 0.312 0.163 0.214 0.191 0.330 0.344 0.326 0.344 0.200 0.172
NM_052859.4 541 521 0.508 0.574 0.476 0.536 0.397 0.590 0.229 0.403 0.246 0.240 0.216 0.287 0.235 0.200 0.165 0.296 0.181 0.303
NM_017884.6 328 317 0.507 0.568 0.478 0.537 0.402 0.582 0.110 0.159 0.207 0.210 0.235 0.226 0.354 0.439 0.210 0.326 0.168 0.357
NM_006699.5 641 613 0.435 0.344 0.477 0.544 0.387 0.373 0.186 0.279 0.331 0.215 0.203 0.165 0.270 0.334 0.296 0.329 0.184 0.207
NM_018163.3 304 296 0.567 0.672 0.516 0.655 0.365 0.681 0.092 0.217 0.128 0.273 0.197 0.243 0.253 0.418 0.191 0.382 0.168 0.438
NM_017768.5 602 586 0.383 0.323 0.412 0.478 0.331 0.341 0.181 0.341 0.339 0.238 0.184 0.135 0.341 0.329 0.321 0.241 0.146 0.206
NM_025194.3 683 651 0.615 0.684 0.583 0.643 0.504 0.698 0.142 0.186 0.163 0.284 0.268 0.325 0.215 0.310 0.139 0.359 0.236 0.373
NM_018641.5 414 399 0.657 0.940 0.523 0.614 0.415 0.942 0.169 0.278 0.034 0.326 0.208 0.517 0.217 0.307 0.024 0.287 0.208 0.425
NM_021260.4 777 758 0.541 0.608 0.508 0.566 0.438 0.618 0.181 0.234 0.242 0.241 0.214 0.329 0.252 0.328 0.140 0.326 0.224 0.288
NM_006773.4 670 650 0.418 0.392 0.430 0.496 0.348 0.410 0.166 0.279 0.315 0.204 0.206 0.170 0.339 0.373 0.275 0.291 0.142 0.240
NM_020166.5 725 694 0.471 0.445 0.483 0.541 0.403 0.469 0.148 0.274 0.276 0.186 0.239 0.215 0.312 0.323 0.255 0.354 0.164 0.254
